date,sensor,latitude,longitude,air_pressure(mBar),air_temperature,sea_water_practical_salinity,sea_water_temperature,wind_speed
2017-06-01 00:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1015.7,26.0,0.16,24.1,1.0
2017-06-01 01:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1015.8,26.0,0.16,24.1,2.2
2017-06-01 02:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1016.5,26.0,0.16,24.1,1.6
2017-06-01 03:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1016.8,24.9,0.16,24.1,4.2
2017-06-01 04:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1016.8,24.6,0.16,24.1,6.0
2017-06-01 05:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1016.6,24.7,0.16,24.2,7.0
2017-06-01 06:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1016.1,24.4,0.16,24.2,5.4
2017-06-01 07:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1016.0,25.1,0.16,24.1,3.6
2017-06-01 08:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1016.1,24.9,0.16,24.1,1.1
2017-06-01 09:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1016.1,24.4,0.16,24.1,2.3
2017-06-01 10:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1016.0,24.1,0.16,24.1,3.7
2017-06-01 11:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1016.2,23.9,0.16,24.1,4.6
2017-06-01 12:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1016.4,24.2,0.16,24.0,4.1
2017-06-01 13:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1016.6,24.8,0.16,24.0,4.9
2017-06-01 14:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1016.8,25.0,0.16,24.1,5.3
2017-06-01 15:36:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1017.2,25.6,0.16,24.1,5.0
2017-06-01 18:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1015.7,25.6,0.16,24.2,4.4
2017-06-01 19:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1014.8,25.5,0.16,24.3,5.1
2017-06-01 20:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1014.5,25.9,0.16,24.2,9.1
2017-06-01 21:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1013.8,26.6,0.16,24.3,6.4
2017-06-01 22:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1013.9,26.2,0.16,24.4,4.2
2017-06-01 23:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1014.3,26.2,0.16,24.3,3.7
2017-06-02 00:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1014.7,26.0,0.16,24.3,3.8
2017-06-02 01:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1014.6,25.8,0.16,24.3,4.3
2017-06-02 02:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1014.5,25.7,0.16,24.3,3.3
2017-06-02 03:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1014.4,25.5,0.16,24.3,5.2
2017-06-02 04:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1014.2,25.3,0.16,24.3,5.6
2017-06-02 05:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1014.3,25.3,0.16,24.3,5.2
2017-06-02 06:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1014.0,25.2,0.16,24.3,4.1
2017-06-02 07:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1013.6,25.4,0.16,24.3,4.3
2017-06-02 09:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1013.4,25.0,0.16,24.2,3.1
2017-06-02 10:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1013.5,24.9,0.16,24.2,4.0
2017-06-02 11:36:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1013.7,24.4,0.16,24.2,3.9
2017-06-02 12:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1014.1,24.3,0.16,24.2,5.9
2017-06-02 13:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1014.6,25.0,0.16,24.2,4.8
2017-06-02 14:36:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1014.7,26.0,0.16,24.2,6.0
2017-06-02 15:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1014.5,26.2,0.16,24.3,5.9
2017-06-02 16:36:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1014.5,25.3,0.17,24.4,7.5
2017-06-02 17:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1014.0,25.8,0.17,24.5,8.0
2017-06-02 18:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1013.3,26.0,0.17,24.6,7.7
2017-06-02 19:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1012.8,26.3,0.17,24.6,7.2
2017-06-02 21:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1011.8,26.5,0.16,24.7,7.6
2017-06-02 22:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1011.7,25.7,0.16,24.7,7.4
2017-06-02 23:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1011.7,25.3,0.16,24.7,7.2
2017-06-03 00:36:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1011.8,25.4,0.16,24.7,5.9
2017-06-03 01:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1011.5,25.0,0.16,24.7,7.2
2017-06-03 02:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1012.0,25.8,0.16,24.7,7.7
2017-06-03 03:36:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1012.6,25.0,0.16,24.7,5.5
2017-06-03 04:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1012.7,26.3,0.16,24.7,9.6
2017-06-03 05:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1012.4,26.3,0.15,24.8,9.9
2017-06-03 06:36:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1011.9,25.9,0.15,24.8,7.3
2017-06-03 07:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1011.8,26.0,0.16,24.7,5.5
2017-06-03 08:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1011.7,26.2,0.16,24.7,5.1
2017-06-03 09:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1012.1,26.1,0.16,24.7,5.8
2017-06-03 10:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1012.7,26.2,0.16,24.7,6.4
2017-06-03 11:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1013.4,26.3,0.16,24.7,6.6
2017-06-03 12:36:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1013.8,26.2,0.16,24.7,5.2
2017-06-03 13:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1014.2,26.3,0.17,24.6,5.8
2017-06-03 14:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1014.3,25.7,0.17,24.6,5.1
2017-06-03 15:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1014.0,26.8,0.17,24.6,7.1
2017-06-03 16:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1013.8,26.2,0.16,24.7,7.9
2017-06-03 17:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1013.8,26.5,0.16,24.8,7.1
2017-06-03 18:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1013.2,26.6,0.16,24.8,8.4
2017-06-03 19:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1013.1,26.5,0.16,24.9,6.2
2017-06-03 20:36:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1012.6,26.5,0.16,24.9,6.0
2017-06-03 21:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1012.7,26.7,0.16,24.9,5.3
2017-06-03 22:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1012.6,26.7,0.17,24.9,5.3
2017-06-03 23:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1012.6,26.6,0.16,24.9,4.4
2017-06-04 00:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1012.9,26.6,0.16,24.8,3.8
2017-06-04 01:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1013.3,26.7,0.16,24.8,5.5
2017-06-04 02:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1013.6,26.7,0.15,24.8,6.0
2017-06-04 03:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1013.7,26.5,0.15,24.8,7.3
2017-06-04 04:36:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1013.8,26.6,0.15,24.8,7.0
2017-06-04 05:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1013.2,26.3,0.15,24.8,8.8
2017-06-04 06:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1012.5,26.3,0.15,24.8,7.9
2017-06-04 07:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1012.3,26.2,0.15,24.8,6.4
2017-06-04 10:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1011.6,26.4,0.15,24.8,9.3
2017-06-04 11:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1011.7,26.6,0.15,24.8,9.3
2017-06-04 12:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1012.2,26.6,0.15,24.8,8.2
2017-06-04 13:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1012.7,26.7,0.15,24.8,8.6
2017-06-04 14:36:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1012.8,26.8,0.16,24.9,7.5
2017-06-04 15:42:00+00:00,ioos:station:NOAA.NOS.CO-OPS:8764314:1,29.2675,-91.3839,1012.0,26.9,0.16,24.9,9.0
